rule,confidence
"IF ('水样便', '肠炎') THEN 小儿腹泻",1.0
"IF ('稀便', '肠炎', '腹泻') THEN 小儿腹泻",1.0
"IF ('稀便', '肠炎') THEN 小儿腹泻",1.0
"IF ('发热', '腹泻', '血便') THEN 小儿腹泻",1.0
"IF ('水样便', '血便') THEN 小儿腹泻",1.0
"IF ('水样便', '腹泻', '血便') THEN 小儿腹泻",1.0
"IF ('水样便', '稀便', '腹泻', '血便') THEN 小儿腹泻",1.0
"IF ('稀便', '腹泻', '血便') THEN 小儿腹泻",1.0
"IF ('腹泻', '血便') THEN 小儿腹泻",1.0
"IF ('发热', '稀便', '腹泻', '高热') THEN 小儿腹泻",1.0
"IF ('发热', '呕吐', '水样便', '稀便', '腹泻') THEN 小儿腹泻",1.0
"IF ('呕吐', '水样便', '稀便', '腹泻') THEN 小儿腹泻",1.0
"IF ('呕吐', '普通感冒', '腹泻') THEN 小儿腹泻",1.0
"IF ('发热', '呕吐', '稀便', '腹泻') THEN 小儿腹泻",1.0
